,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
nymaim,0,0,0,0,0,0,6,0,0,1,1,30,3,33,43,0,1,20,92,0,0,0,5,4003,0,95,12,13,4,6,0,0,0,0,2,2,68,0,22,0,36,12,12,0,5,3,22,3,5,0,100
padcrypt,0,0,7,0,0,0,3,2,0,2,0,0,5,1,7,0,0,5,0,0,0,0,5,0,4582,3,0,4,0,0,0,8,0,8,4,5,4,1,0,0,0,1,0,0,0,1,0,2,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3688,0,0,0,0,0,0,0,0,0,0,1,0,0,0,817,130,20,0,3,0,0,0,0,0,0
proslikefan,160,0,1,0,0,0,10,3,0,0,173,0,0,0,0,4,41,151,0,0,5,0,93,3,0,2,2568,2,499,242,0,18,0,9,25,0,0,1,217,0,0,27,0,0,253,37,0,19,17,0,80
pushdo,25,0,4,0,0,0,0,24,0,0,44,0,5,10,6,0,20,14,9,0,0,0,5,12,1,0,0,4282,4,0,0,2,0,33,0,0,0,0,4,0,0,0,0,0,8,9,0,46,85,0,8
pykspa,118,0,3,0,0,0,138,14,0,0,145,0,3,1,0,11,70,44,0,0,0,0,3,1,1,1,400,30,1314,784,1,109,37,53,28,0,0,15,238,1,0,40,0,0,860,69,0,26,30,0,72
pykspa_noise,122,0,8,0,0,0,98,23,0,0,141,0,0,0,0,13,55,64,0,0,0,0,11,7,0,4,367,31,1402,848,0,81,38,75,31,0,0,9,168,2,0,46,0,0,776,58,0,38,61,0,83
qadars,0,0,24,7,0,0,7,4,0,0,3,0,0,1,0,6,6,5,0,0,0,0,0,0,0,3,0,3,32,21,3877,6,6,6,9,0,0,576,0,1,0,0,0,0,23,10,21,1,2,0,0
qakbot,69,0,106,0,1,0,301,201,0,283,54,0,1,0,1,6,49,184,0,0,236,0,60,3,5,0,174,9,220,125,1,1833,32,109,119,32,2,2,9,1,0,0,0,0,333,92,0,4,2,0,1
ramdo,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,3,5,0,0,0,1,1,0,31,4597,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,577,0,649,0,0,0,16,903,0,0,680,0,17,7,7,5,75,1,0,0,0,0,4,0,6,0,2,64,29,4,0,28,0,1057,13,25,0,0,19,3,0,0,0,0,45,320,0,43,36,0,25
ranbyus_v1,0,0,147,0,0,0,292,104,0,68,0,3,0,0,0,9,44,195,0,0,0,0,85,27,3,3,0,22,13,7,0,57,13,140,3263,48,0,0,0,0,0,0,0,0,7,110,0,0,0,0,0
ranbyus_v2,0,0,171,0,0,0,26,151,0,482,0,1,2,3,4,1,2,114,0,0,0,0,262,7,12,1,0,3,0,0,0,15,2,224,571,2597,3,0,0,0,1,0,1,0,0,4,0,0,0,0,0
rovnix,0,0,0,0,1,0,0,0,0,0,0,203,9,161,167,0,0,0,1,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,4089,0,0,0,1,0,9,0,0,0,0,0,0,0,0
shiotob,53,0,174,1,218,0,12,33,0,23,39,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,1,9,56,33,323,14,0,22,12,0,0,3522,0,0,1,2,0,1,72,25,0,3,1,0,0
simda,64,0,0,0,0,0,0,1,0,0,74,0,0,0,0,0,7,97,0,0,0,0,16,31,0,0,88,21,205,30,0,0,0,2,0,0,0,0,3868,0,0,0,0,0,1,0,1,4,9,0,141
sisron,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,6,0,4631,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3525,73,3,0,1,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,2,0,16,22,0,0,0,0,0,0,0,0,0,0,40,4378,1,0,6,0,0,0,0,0,9
suppobox_3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,4617,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4655,0,0,0,0,0,0,0
tempedreve,550,0,0,0,0,0,1,73,0,0,362,0,0,0,0,2,43,58,0,0,0,0,3,0,0,2,114,20,710,456,0,14,0,39,0,0,0,4,60,0,1,10,0,0,2091,17,0,13,8,0,9
tinba,53,0,172,0,0,0,243,321,0,0,55,0,0,3,0,12,62,551,0,0,65,0,184,12,6,9,11,32,123,83,0,41,0,422,421,1,0,9,2,1,1,0,0,4,230,1522,0,5,2,0,2
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4654,0,0,0,0
vawtrak_v2,9,0,0,0,0,0,0,4,0,0,6,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,26,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,3857,617,0,126
vawtrak_v3,3,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,394,4110,0,114
zeus-newgoz,0,0,1,0,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4624,0
legit,16,0,4,22,0,0,1,5,0,2,25,5,6,56,56,4,14,5,81,0,0,0,0,149,1,45,162,44,32,35,23,2,2,5,0,0,2,45,93,0,11,154,1,0,7,1,0,67,290,0,3187
