,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
fobber_v2,716,0,4,0,0,0,0,46,0,0,33,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,58,0,0,0,0,1,0,0,0,0,0,0,4,0,72,28,0,0
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,3,0,0,0,0,0,0,3,0,0,787,13,131,0,0,0,30,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0
gozi_nasa,0,0,0,0,0,0,0,1,0,0,0,0,79,546,242,0,0,0,101,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6
gozi_rfc4343,0,0,3,0,0,0,0,1,0,0,0,0,80,157,601,1,0,0,116,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,3
kraken_v1,1,0,10,0,0,0,14,7,0,18,0,3,2,0,1,692,95,19,0,1,2,0,0,0,5,0,15,0,5,0,0,8,27,0,5,6,0,0,12,21,0,0,0,0,5,1,0,3,2,0,3
kraken_v2,158,0,29,0,0,0,15,21,0,5,10,2,1,0,0,242,70,27,0,0,3,0,1,3,6,0,105,21,18,3,0,12,27,10,41,14,0,0,14,4,0,0,0,0,13,50,12,35,11,0,0
locky,2,0,5,0,0,0,36,1,0,52,0,5,0,0,1,4,6,96,1,10,180,0,1,4,8,0,126,43,24,3,0,27,7,0,66,157,0,0,21,3,0,0,0,0,9,76,6,0,2,0,1
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,1,36,28,0,0,0,914,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
murofet_v1,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,966,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
necurs,9,0,6,0,3,0,10,7,0,83,2,6,1,0,1,3,5,52,0,79,72,0,2,2,5,1,135,60,9,2,0,20,2,2,82,196,0,1,8,2,0,1,0,0,7,85,15,5,2,0,0
nymaim,0,0,0,0,0,0,0,0,0,0,0,110,1,5,10,0,0,2,38,0,0,0,0,620,1,19,1,12,0,1,0,0,0,0,0,0,118,0,1,0,21,2,10,0,0,0,3,1,4,0,3
padcrypt,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0,0,0,0,0,972,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,4,0,0,0,492,43,6,0,0,0,0,0,0,0,0
proslikefan,63,0,1,0,0,0,3,1,0,0,2,3,0,0,0,5,2,14,0,0,67,0,0,7,2,0,382,24,84,32,0,0,2,0,31,2,0,1,107,2,0,23,0,0,46,33,5,29,7,0,3
pushdo,50,0,24,0,0,0,0,6,0,0,18,0,11,0,0,3,3,0,18,0,1,0,0,2,2,0,0,677,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,43,108,0,6
pykspa,61,0,6,0,0,0,9,7,0,69,2,0,1,0,0,8,1,32,0,0,1,0,0,1,4,2,47,11,261,56,0,9,36,6,8,6,0,17,163,2,0,46,0,4,61,4,1,31,7,0,3
pykspa_noise,65,0,4,0,0,0,11,11,0,53,5,1,2,0,0,0,3,22,0,0,0,0,1,2,1,6,39,6,264,75,1,8,38,7,9,5,0,13,165,6,0,52,1,2,59,3,0,38,4,0,1
qadars,1,0,15,7,51,0,2,9,0,10,1,0,0,0,0,3,0,3,0,0,0,0,0,0,1,5,0,2,2,0,816,1,13,0,1,1,0,10,0,1,0,0,0,0,0,1,26,0,1,0,0
qakbot,28,0,47,0,0,0,7,28,0,197,3,3,1,0,2,4,3,30,0,223,119,0,0,1,8,0,30,6,55,12,3,54,20,3,10,37,0,4,10,1,0,3,0,1,18,6,1,4,1,0,0
ramdo,0,0,0,0,0,0,0,0,0,8,0,13,5,0,1,1,0,2,0,0,0,0,0,0,5,0,0,2,0,0,0,1,940,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,251,0,265,0,0,0,0,218,0,9,20,0,11,0,8,8,1,0,0,3,0,0,0,0,15,0,0,12,0,0,0,0,0,35,0,21,0,1,1,3,0,0,0,0,1,17,0,59,19,0,5
ranbyus_v1,1,0,63,0,0,0,18,38,0,101,0,15,0,0,0,7,0,125,0,0,58,0,1,4,7,1,0,26,0,0,0,4,11,2,125,334,0,0,0,4,0,0,0,0,0,35,1,1,0,0,1
ranbyus_v2,0,0,78,0,2,0,0,42,0,271,0,9,2,0,1,1,0,20,0,10,82,0,0,0,13,0,0,5,0,0,0,19,0,0,1,424,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
rovnix,0,0,0,0,0,0,0,0,0,2,0,88,1,78,89,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,1,0,0,0,0,0,0,0,0
shiotob,32,0,57,2,116,1,0,31,0,39,3,0,0,0,0,3,0,1,0,0,0,0,0,0,6,5,0,0,14,0,571,0,0,9,0,0,0,73,0,1,0,1,0,0,9,0,0,5,4,0,0
simda,91,0,0,0,0,0,0,0,0,0,21,4,0,0,0,3,1,9,0,0,0,0,0,29,0,1,15,68,12,4,0,0,0,1,17,0,0,0,639,0,0,0,0,0,3,3,3,53,1,0,5
sisron,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0,0,0,0,0,0,0,0,0
suppobox_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,2,0,0,0,570,20,3,0,0,0,0,0,0,0,0
suppobox_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,722,2,0,0,0,0,0,0,0,5
suppobox_3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,917,0,0,0,0,0,0,0,0
symmi,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,974,0,0,0,0,0,0,0
tempedreve,176,0,1,0,0,0,14,9,0,3,11,0,0,0,0,10,8,36,0,0,0,0,0,1,3,14,56,19,285,34,3,0,0,15,24,0,0,17,44,4,0,10,0,2,127,16,9,16,14,0,2
tinba,61,0,80,0,0,0,51,121,0,64,11,2,0,0,0,6,4,80,2,0,100,0,1,2,18,3,8,19,24,5,1,1,5,38,90,53,0,8,0,2,0,0,0,2,5,92,2,7,15,0,0
vawtrak_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,978,0,0,0,0
vawtrak_v2,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,768,168,0,13
vawtrak_v3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,447,505,0,16
zeus-newgoz,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,968,0
legit,1,0,0,3,0,0,0,1,0,1,2,14,6,6,6,2,0,0,90,0,0,0,0,66,0,14,31,11,0,4,15,0,0,0,0,0,3,3,44,0,4,46,0,0,0,0,2,241,47,0,320
